X	Y	Z	RotX	RotY	RotZ	XDt	YDt	ZDt	RotXDt	RotYDt	RotZDt
0.00064959	0.0030473	-0.001831	-0.0008103	5.6817e-06	0.00049861	0	0	0	0	0	0
0.035436	0.0056087	0.12632	-0.047762	0.01187	0.039026	0.034786	0.0025614	0.12815	-0.046952	0.011865	0.038528
0.030385	-0.00029863	0.18086	-0.051768	0.007789	0.051156	-0.005051	-0.0059073	0.054541	-0.0040059	-0.0040813	0.01213
0.03239	0.022857	0.18312	-0.055514	0.0022603	0.047829	0.0020054	0.023156	0.0022669	-0.0037461	-0.0055286	-0.0033277
-0.010807	0.013747	0.16909	-0.032351	-0.024523	0.017091	-0.043197	-0.0091102	-0.014037	0.023163	-0.026783	-0.030738
-0.028642	0.022994	0.16766	-0.046007	-0.040702	-0.0090189	-0.017835	0.0092468	-0.0014267	-0.013656	-0.016179	-0.02611
-0.038384	0.029891	0.17595	-0.054757	-0.057206	-0.021876	-0.0097427	0.0068973	0.0082892	-0.0087492	-0.016504	-0.012857
-0.039813	0.040987	0.18587	-0.060589	-0.057636	-0.021064	-0.0014292	0.011096	0.0099249	-0.0058325	-0.00042962	0.00081155
-0.030982	0.041612	0.1782	-0.049072	-0.055257	-0.026528	0.008832	0.00062448	-0.0076756	0.011517	0.0023786	-0.0054638
-0.031972	0.05698	0.16031	-0.049862	-0.049724	-0.02426	-0.00099053	0.015368	-0.017887	-0.00078967	0.0055329	0.002268
-0.027618	0.051447	0.15911	-0.039241	-0.04971	-0.038169	0.0043543	-0.005533	-0.0011967	0.01062	1.4546e-05	-0.013909
-0.028553	0.053776	0.1343	-0.049111	-0.053289	-0.034078	-0.00093506	0.0023291	-0.024813	-0.0098697	-0.0035792	0.0040913
-0.022999	0.057751	0.14497	-0.039191	-0.051859	-0.041581	0.0055535	0.0039753	0.010669	0.0099205	0.0014301	-0.007503
-0.028188	0.042911	0.15774	-0.04093	-0.055662	-0.038751	-0.0051885	-0.01484	0.012774	-0.0017394	-0.003803	0.0028293
-0.031	0.051754	0.16398	-0.038486	-0.051476	-0.045237	-0.0028122	0.008843	0.0062314	0.0024441	0.0041853	-0.0064862
-0.035721	0.054411	0.17801	-0.048765	-0.053335	-0.043248	-0.0047214	0.0026573	0.01403	-0.010279	-0.0018589	0.0019891
-0.035143	0.04033	0.19405	-0.047181	-0.04978	-0.037661	0.00057796	-0.014082	0.01604	0.0015841	0.0035552	0.0055874
-0.0268	0.035608	0.21724	-0.043822	-0.04602	-0.046808	0.0083439	-0.0047211	0.023194	0.0033583	0.0037605	-0.0091475
-0.023167	0.026437	0.24152	-0.044349	-0.043733	-0.034885	0.0036326	-0.0091713	0.024283	-0.00052632	0.0022869	0.011923
-0.019077	0.011886	0.26782	-0.03769	-0.042971	-0.046191	0.0040902	-0.014551	0.026295	0.0066581	0.00076218	-0.011305
-0.023176	0.027794	0.25956	-0.050986	-0.039953	-0.039721	-0.0040987	0.015908	-0.0082561	-0.013295	0.003018	0.0064694
-0.019162	0.015064	0.26371	-0.039625	-0.0368	-0.046079	0.0040133	-0.012731	0.0041495	0.011361	0.0031527	-0.0063582
-0.010972	0.022987	0.2696	-0.041285	-0.029423	-0.062226	0.00819	0.0079229	0.0058847	-0.0016599	0.0073772	-0.016146
-0.0019279	0.010294	0.27822	-0.020997	-0.027199	-0.068795	0.0090443	-0.012692	0.0086213	0.020288	0.0022234	-0.0065698
0.004659	-0.0045113	0.29473	-0.023122	-0.017851	-0.078428	0.0065869	-0.014806	0.016513	-0.0021244	0.0093478	-0.0096322
0.0067725	-0.0031351	0.29156	-0.017914	-0.020814	-0.079366	0.0021135	0.0013761	-0.0031671	0.0052072	-0.0029627	-0.00093809
0.0087962	-0.014719	0.28885	-0.020235	-0.007219	-0.063656	0.0020237	-0.011584	-0.0027172	-0.0023208	0.013595	0.01571
0.014914	-0.0054329	0.28007	-0.016574	-0.020738	-0.063156	0.0061181	0.0092858	-0.0087777	0.0036615	-0.013519	0.00050008
0.018757	-0.018992	0.26639	0.0017614	-0.0012981	-0.044007	0.0038429	-0.013559	-0.013678	0.018335	0.01944	0.01915
0.01818	-0.027346	0.24233	0.01041	-0.020544	-0.049586	-0.00057695	-0.0083538	-0.024065	0.0086486	-0.019246	-0.0055793
0.025521	-0.015316	0.22064	0.012488	0.0046181	-0.04429	0.0073408	0.01203	-0.021688	0.002078	0.025162	0.0052956
0.018117	-0.0096187	0.21003	0.0048498	-0.017792	-0.045377	-0.0074041	0.0056968	-0.010604	-0.0076383	-0.02241	-0.0010868
0.029741	0.02177	0.20286	-0.013965	0.0083358	-0.03712	0.011624	0.031389	-0.0071789	-0.018815	0.026128	0.0082569
0.019513	0.0086537	0.20567	-0.010191	0.00011424	-0.035116	-0.010228	-0.013116	0.0028114	0.0037743	-0.0082216	0.002004
0.021806	0.018384	0.20176	-0.0067372	0.0078548	-0.024069	0.002293	0.0097301	-0.0039095	0.0034539	0.0077405	0.011047
